qid,name,sibling,spouse
Q102433534,Preston Bezos,4,0
Q102433548,second son of Jeff Bezos,4,0
Q102433555,third son of Jeff Bezos,4,0
Q102434015,Lawrence Preston Gise,0,1
Q102434144,Mattie Louise Strait,0,1
Q102434206,Theodore John Jorgensen,0,1
Q102434217,Dolores Pollack,0,1
Q10322797,NA,0,1
Q106630002,Lloyd Preston Gise,0,1
Q106630003,Rebecca Mabel Hall,0,1
Q106630007,Henrietta Trammell,0,1
Q106630009,Thomas King Hall,0,1
Q106630013,Yancy Clarence Straight (Strait),1,1
Q106630015,Marie A Strait,0,1
Q106630017,John Joseph Strait,0,1
Q106630018,Martha Eudora Strait,0,1
Q106630021,Robert Hall,0,1
Q106630022,Mary Minerva Polly,0,1
Q106630024,James Brown Hall,0,1
Q106630025,Rebecca Hall,0,1
Q106630027,"John Gladden King, Sr",0,1
Q106630028,Parmelia Millie King,0,1
Q106630032,John Joseph Strait,0,1
Q106630036,Mary S. Boyd,0,1
Q106630037,"James Strait, Sr.",0,1
Q106630038,"Margaret ""Peggy"" Strait",0,1
Q106630039,James Boyd,0,1
Q106630040,"Margaret ""Mary"" Lewis",0,1
Q106630046,"Christopher Strait, Sr.",0,1
Q106630047,Mary Strait,0,1
Q106630048,Johann L. Strait,0,1
Q106630050,Margaret Elizabeth Mannesse,0,1
Q106630051,"Henry J Huddleston, Jr.",0,1
Q106630052,Mary Huddleston,0,1
Q135582897,John Samuel Strait,1,0
Q23784752,Mark Bezos,2,0
Q312556,Jeff Bezos,2,2
Q4407963,NA,0,1
Q92464290,Jacklyn Gise,0,3
Q97748633,NA,0,1
Q97749941,Ted Jorgensen,0,2
NA,NA,2,2
